Prod_name,Brand_name,Prod_price,Cross_price,Prod_Star_Rat,Prod_Review,Prod_Url
"Canon MX492 BLACK Wireless All-IN-One Small Printer with Mobile or Tablet Printing, Airprint and Google Cloud Print Compatible",Canon,$69.99,$99.99,3.4,"3,983",https://www.amazon.com/Canon-MX492-Wireless-Printing-Compatible/dp/B00RN08584/ref=sr_1_1/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285704&sr=1-1
"Brother Compact Monochrome Laser Printer, HL-L2350DW, Wireless Printing, Duplex Two-Sided Printing, Amazon Dash Replenishment Enabled",Brother,$79.99,$119.99,3.8,"5,238",https://www.amazon.com/Brother-Monochrome-HL-L2350DW-Two-Sided-Replenishment/dp/B0763WDSYZ/ref=sr_1_2/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285704&sr=1-2
"HP OfficeJet Pro 8710 All-in-One Wireless Printer with Mobile Printing, Instant Ink ready (M9L66A)",HP,$83.46,,3.7,"1,453",https://www.amazon.com/HP-OfficeJet-8710-Wireless-Printing/dp/B01CJNMRG0/ref=sr_1_3/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285704&sr=1-3
"Brother Compact Monochrome Laser Printer, HLL2395DW, Flatbed Copy & Scan, Wireless Printing, NFC, Cloud-Based Printing & Scanning, Amazon Dash Replenishment Enabled",Brother,$99.99,$169.99,4.2,"2,145",https://www.amazon.com/Brother-Monochrome-HLL2395DW-Cloud-Based-Replenishment/dp/B0764NWFP8/ref=sr_1_4/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285704&sr=1-4
"Brother Monochrome Laser Printer, Compact Multifunction Printer and Copier, DCPL2550DW, Wireless Printing, Duplex Printing, Mobile Printing, 50-Sheet Document Feeder, Amazon Dash Replenishment Enabled",Brother,$139.99,$159.99,4,"2,676",https://www.amazon.com/Brother-Monochrome-Multifunction-DCPL2550DW-Replenishment/dp/B0764P8F5J/ref=sr_1_5/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285704&sr=1-5
"HP Laserjet Pro M281fdw All in One Wireless Color Laser Printer, Amazon Dash Replenishment Ready (T6B82A)",HP,$219.56,,3.9,312,https://www.amazon.com/HP-Laserjet-Wireless-Replenishment-T6B82A/dp/B073RG8Z72/ref=sr_1_6/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285704&sr=1-6
"Brother Monochrome Laser Printer, Compact All-In One Printer, Multifunction Printer, MFCL2710DW, Wireless Networking and Duplex Printing, Amazon Dash Replenishment Enabled",Brother,$139.99,$199.99,3.9,"2,953",https://www.amazon.com/Brother-Monochrome-Multifunction-MFCL2710DW-Replenishment/dp/B0763ZCH7K/ref=sr_1_7/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285704&sr=1-7
DYMO LabelWriter 450 Turbo Thermal Label Printer (1752265),DYMO,$79.97,$129.99,4.2,"1,857",https://www.amazon.com/DYMO-LabelWriter-Thermal-Printer-1752265/dp/B0027JIIKQ/ref=sr_1_8/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285704&sr=1-8
CANON PIXMA iP110 Wireless Mobile Printer With Airprint(TM) And Cloud Compatible,Canon,$149.95,$249.99,3.9,"1,146",https://www.amazon.com/Wireless-Mobile-Printer-Airprint-Compatible/dp/B00NV9LL9Q/ref=sr_1_9/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285704&sr=1-9
"HP T0F29A#B1H OfficeJet Pro 6978 All-in-One Wireless Printer with Mobile Printing, Instant Ink Ready (T0F29A)",HP,$84.00,,3.4,"1,212",https://www.amazon.com/HP-OfficeJet-6978-Wireless-Replenishment/dp/B01FS2W6I8/ref=sr_1_10/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285704&sr=1-10
"HP Laserjet Pro M477fdw Multifunction Wireless Color Laser Printer with Duplex Printing, Amazon Dash Replenishment Ready (CF379A)",HP,$325.61,,3.6,661,https://www.amazon.com/HP-Laserjet-Multifunction-Wireless-Replenishment/dp/B014CSKE7E/ref=sr_1_11/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285704&sr=1-11
"Brother MFCL2750DW Monochrome All-in-One Wireless Laser Printer, Duplex Copy & Scan, Amazon Dash Replenishment Enabled",Brother,$184.99,$249.99,4,"1,326",https://www.amazon.com/Brother-MFCL2750DW-Monochrome-Wireless-Replenishment/dp/B0763X6TCW/ref=sr_1_12/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285704&sr=1-12
Epson Expression ET-2750 EcoTank Wireless Color All-in-One Supertank Printer with Scanner and Copier,Epson,$219.99,$299.99,3.7,400,https://www.amazon.com/Epson-Expression-EcoTank-Wireless-Supertank/dp/B074V4TTY2/ref=sr_1_13/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285704&sr=1-13
"HP Laserjet Pro M402n Monochrome Printer, Amazon Dash Replenishment Ready (C5F93A)",HP,$130.00,,4.1,335,https://www.amazon.com/HP-Laserjet-Monochrome-Printer-Replenishment/dp/B013SKIC7G/ref=sr_1_14/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285704&sr=1-14
Brother HL-L2300D Monochrome Laser Printer with Duplex Printing,Brother,$59.99,$99.99,4.1,"1,790",https://www.amazon.com/Brother-HL-L2300D-Monochrome-Printer-Printing/dp/B00NQ1CLTI/ref=sr_1_15/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285704&sr=1-15
"Brother Wireless All-in-One Inkjet Printer, MFC-J895DW, Multi-function Color Printer, Duplex Printing, NFC One Touch to Connect Mobile Printing, Amazon Dash Replenishment Enabled",Brother,$89.99,$129.99,3.9,54,https://www.amazon.com/Brother-Wireless-MFC-J895DW-Multi-function-Replenishment/dp/B07CCDVN8W/ref=sr_1_16/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285704&sr=1-16
"Canon Color imageCLASS MF733Cdw - All in One, Wireless, Duplex Laser Printer (Comes with 3 Year Limited Warranty)",Canon,$329.99,,4,,https://www.amazon.com/Canon-Color-imageCLASS-MF733Cdw-Wireless/dp/B06Y1MYQWB/ref=sr_1_17/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285704&sr=1-17
"HP Laserjet Pro M402dn Monochrome Printer, Amazon Dash Replenishment Ready (C5F94A)",HP,$101.74,,4.1,223,https://www.amazon.com/HP-Laserjet-Monochrome-Printer-Replenishment/dp/B013SKIBL8/ref=sr_1_18/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285704&sr=1-18
